epoch,step,train/av2/brier_fde,train/av2/minADE6,train/av2/minFDE6,train/av2/miss_rate,train/brier_fde,train/minADE6,train/minFDE6,train/miss_rate,train/nuscenes/brier_fde,train/nuscenes/minADE6,train/nuscenes/minFDE6,train/nuscenes/miss_rate,train/waymo/brier_fde,train/waymo/minADE6,train/waymo/minFDE6,train/waymo/miss_rate,val/av2/brier_fde,val/av2/minADE6,val/av2/minFDE6,val/av2/miss_rate,val/brier_fde,val/minADE6,val/minFDE6,val/miss_rate,val/nuscenes/brier_fde,val/nuscenes/minADE6,val/nuscenes/minFDE6,val/nuscenes/miss_rate,val/waymo/brier_fde,val/waymo/minADE6,val/waymo/minFDE6,val/waymo/miss_rate
0,1557,,,,,,,,,,,,,,,,,7.038574695587158,3.001995325088501,6.207528114318848,0.7470167279243469,7.088052272796631,3.0105268955230713,6.2569193840026855,0.8011999726295471,6.040293216705322,2.6692750453948975,5.208826541900635,0.7638888955116272,7.109381675720215,3.016768217086792,6.278246879577637,0.8068307638168335
0,1557,11.505941390991211,4.889868259429932,10.679301261901855,0.7786069512367249,14.762877464294434,5.81074857711792,13.933767318725586,0.8303968906402588,11.003875732421875,4.621689319610596,10.1764554977417,0.8277945518493652,15.107983589172363,5.910177230834961,14.27861213684082,0.8350460529327393,,,,,,,,,,,,,,,,
1,3115,,,,,,,,,,,,,,,,,6.954217433929443,2.7996158599853516,6.113452434539795,0.7541766166687012,7.314545154571533,2.8349010944366455,6.474301338195801,0.7617999911308289,6.889616012573242,2.796251058578491,6.047731399536133,0.8055555820465088,7.354814529418945,2.8387978076934814,6.514644145965576,0.7618097066879272
1,3115,6.650845527648926,2.8208484649658203,5.81990909576416,0.7402985095977783,7.103504180908203,2.8613486289978027,6.272071838378906,0.784885823726654,6.659964561462402,2.6885104179382324,5.827864170074463,0.8187311291694641,7.150317192077637,2.867490291595459,6.318841934204102,0.7883593440055847,,,,,,,,,,,,,,,,
2,4673,,,,,,,,,,,,,,,,,5.448368072509766,2.3375837802886963,4.630804061889648,0.6682577729225159,5.490865707397461,2.172952651977539,4.667028903961182,0.6970000267028809,5.766042709350586,2.2405829429626465,4.9440016746521,0.7777777910232544,5.490423679351807,2.1565747261047363,4.665972709655762,0.6983810067176819
2,4673,6.08173942565918,2.564760446548462,5.253418922424316,0.7323383092880249,6.3531928062438965,2.5276412963867188,5.524699687957764,0.7578761577606201,6.3240861892700195,2.631826877593994,5.493464469909668,0.7945619225502014,6.377788543701172,2.5228114128112793,5.549298286437988,0.759611964225769,,,,,,,,,,,,,,,,
3,6231,,,,,,,,,,,,,,,,,5.983190059661865,2.351652145385742,5.159875869750977,0.7684963941574097,6.391119003295898,2.4869203567504883,5.549671649932861,0.8118000030517578,5.97676420211792,2.3930795192718506,5.128291130065918,0.7777777910232544,6.435643672943115,2.500988721847534,5.592621803283691,0.8163672685623169
3,6231,5.382746696472168,2.2678768634796143,4.56452751159668,0.7034825682640076,5.806706428527832,2.285426616668701,4.989108085632324,0.7374483346939087,6.321140289306641,2.505702257156372,5.497167110443115,0.7703927755355835,5.836914539337158,2.283759832382202,5.019466400146484,0.7399893403053284,,,,,,,,,,,,,,,,
4,7789,,,,,,,,,,,,,,,,,5.049975872039795,1.9989770650863647,4.2339043617248535,0.7088305354118347,4.902345657348633,1.8004900217056274,4.087059020996094,0.6890000104904175,4.716590404510498,2.006713628768921,3.885039806365967,0.75,4.891595840454102,1.778752326965332,4.076639652252197,0.6861832141876221
4,7789,5.3326640129089355,2.191340923309326,4.515313625335693,0.7109452486038208,5.53476619720459,2.1631221771240234,4.7177863121032715,0.7277762293815613,6.059055328369141,2.427377700805664,5.235533237457275,0.7764350175857544,5.545071601867676,2.156736373901367,4.728225231170654,0.728561282157898,,,,,,,,,,,,,,,,
5,9347,,,,,,,,,,,,,,,,,4.49135160446167,1.800984501838684,3.6799168586730957,0.656324565410614,4.782186508178711,1.7606745958328247,3.9737961292266846,0.7002000212669373,5.425576210021973,2.0605294704437256,4.590991973876953,0.7083333134651184,4.7989373207092285,1.7521400451660156,3.9912493228912354,0.7041472792625427
5,9347,5.026241779327393,2.0480942726135254,4.207757472991943,0.6890547275543213,5.305521011352539,2.0390737056732178,4.4869818687438965,0.7136091589927673,5.8810133934021,2.292949676513672,5.051190376281738,0.7583081722259521,5.321945667266846,2.034547805786133,4.503573894500732,0.7151399850845337,,,,,,,,,,,,,,,,
6,10905,,,,,,,,,,,,,,,,,4.539551258087158,1.8211816549301147,3.7190208435058594,0.6396181583404541,4.827498435974121,1.8001075983047485,4.0033369064331055,0.6800000071525574,5.5402045249938965,2.079925537109375,4.707655906677246,0.7222222089767456,4.842874050140381,1.7936809062957764,4.0185089111328125,0.6830782890319824
6,10905,5.012592315673828,2.017345428466797,4.190327167510986,0.6676616668701172,5.106263160705566,1.9522101879119873,4.287796974182129,0.6970341801643372,5.701584815979004,2.2750492095947266,4.8698344230651855,0.7341389656066895,5.105874061584473,1.941679835319519,4.287944316864014,0.6991052627563477,,,,,,,,,,,,,,,,
7,12463,,,,,,,,,,,,,,,,,4.88166618347168,1.902667760848999,4.060754299163818,0.7088305354118347,4.791896343231201,1.7614972591400146,3.970226287841797,0.6913999915122986,5.9711761474609375,2.1877686977386475,5.140328407287598,0.6944444179534912,4.76472282409668,1.7415721416473389,3.9431307315826416,0.6897316575050354
7,12463,4.927173614501953,1.9796853065490723,4.105639457702637,0.6820895671844482,5.052385330200195,1.90916109085083,4.233759880065918,0.6936228275299072,5.718393802642822,2.197519063949585,4.883739948272705,0.7583081722259521,5.0537590980529785,1.8986544609069824,4.2356343269348145,0.6937012672424316,,,,,,,,,,,,,,,,
8,14021,,,,,,,,,,,,,,,,,4.571942329406738,1.882431149482727,3.7537267208099365,0.6252983212471008,4.385160446166992,1.5871424674987793,3.565793037414551,0.6226000189781189,5.437174320220947,1.953682541847229,4.597229957580566,0.6527777910232544,4.3510026931762695,1.5538498163223267,3.5318586826324463,0.6218673586845398
8,14021,4.767269134521484,1.9019675254821777,3.949890375137329,0.6537313461303711,4.846881866455078,1.8288321495056152,4.027281284332275,0.6813420653343201,5.709568023681641,2.1994998455047607,4.874853134155273,0.7885196208953857,4.8413238525390625,1.816886067390442,4.021740913391113,0.6822289228439331,,,,,,,,,,,,,,,,
9,15579,,,,,,,,,,,,,,,,,4.190646648406982,1.6870025396347046,3.3807730674743652,0.6133651733398438,4.165234565734863,1.5159296989440918,3.3528597354888916,0.6284000277519226,5.147143840789795,1.8236868381500244,4.319681167602539,0.6527777910232544,4.147195816040039,1.4951179027557373,3.3348276615142822,0.6294078230857849
9,15579,4.734696865081787,1.8821117877960205,3.914043664932251,0.6606965065002441,4.81204891204834,1.808414101600647,3.993297815322876,0.6752418279647827,5.753477096557617,2.2028939723968506,4.921334743499756,0.7401812672615051,4.805130481719971,1.7960704565048218,3.9867467880249023,0.6755846738815308,,,,,,,,,,,,,,,,
10,17137,,,,,,,,,,,,,,,,,4.257808208465576,1.651795744895935,3.4435935020446777,0.620525062084198,4.083693027496338,1.4225056171417236,3.2640295028686523,0.5960000157356262,4.963346004486084,1.8025412559509277,4.124554634094238,0.5972222089767456,4.053469181060791,1.3951303958892822,3.2336018085479736,0.5937014818191528
10,17137,4.465493202209473,1.7234734296798706,3.646068572998047,0.623383104801178,4.392379283905029,1.60415518283844,3.5753443241119385,0.6325801610946655,5.396892070770264,2.1182949542999268,4.566129684448242,0.7522658705711365,4.37114143371582,1.5859949588775635,3.554521083831787,0.6316442489624023,,,,,,,,,,,,,,,,
11,18695,,,,,,,,,,,,,,,,,4.091744899749756,1.6618074178695679,3.2766213417053223,0.5727923512458801,4.099631309509277,1.4417462348937988,3.277050495147705,0.5961999893188477,5.409843444824219,2.0121452808380127,4.57243537902832,0.6666666865348816,4.079442024230957,1.4121887683868408,3.25640606880188,0.5972499251365662
11,18695,4.413059234619141,1.703769564628601,3.594330072402954,0.6313433051109314,4.305781841278076,1.566760540008545,3.488651990890503,0.6274029612541199,5.407098770141602,2.11447811126709,4.57427978515625,0.670694887638092,4.280084609985352,1.5465316772460938,3.4633281230926514,0.6264174580574036,,,,,,,,,,,,,,,,
