epoch,step,train/av2/brier_fde,train/av2/minADE6,train/av2/minFDE6,train/av2/miss_rate,train/brier_fde,train/minADE6,train/minFDE6,train/miss_rate,train/nuscenes/brier_fde,train/nuscenes/minADE6,train/nuscenes/minFDE6,train/nuscenes/miss_rate,train/waymo/brier_fde,train/waymo/minADE6,train/waymo/minFDE6,train/waymo/miss_rate,val/av2/brier_fde,val/av2/minADE6,val/av2/minFDE6,val/av2/miss_rate,val/brier_fde,val/minADE6,val/minFDE6,val/miss_rate,val/nuscenes/brier_fde,val/nuscenes/minADE6,val/nuscenes/minFDE6,val/nuscenes/miss_rate,val/waymo/brier_fde,val/waymo/minADE6,val/waymo/minFDE6,val/waymo/miss_rate
0,1557,,,,,,,,,,,,,,,,,7.93388557434082,3.0813591480255127,7.098766326904297,0.7613365054130554,8.074761390686035,2.949758768081665,7.240333557128906,0.782800018787384,7.0458784103393555,2.611374855041504,6.211501598358154,0.8194444179534912,8.104275703430176,2.9429328441619873,7.269918441772461,0.7842093706130981
0,1557,11.516924858093262,4.903013229370117,10.69239330291748,0.7870646715164185,14.951164245605469,5.866934299468994,14.123936653137207,0.8322831988334656,10.990594863891602,4.554882049560547,10.163870811462402,0.8459214568138123,15.31499195098877,5.971993923187256,14.487526893615723,0.8361091613769531,,,,,,,,,,,,,,,,
1,3115,,,,,,,,,,,,,,,,,5.629684925079346,2.32413911819458,4.804025650024414,0.7136037945747375,5.992977142333984,2.2603702545166016,5.166240215301514,0.7534000277519226,5.839397430419922,2.2197816371917725,5.016617298126221,0.7916666865348816,6.029188632965088,2.255092144012451,5.202291965484619,0.7564870119094849
1,3115,6.301719665527344,2.6857995986938477,5.470588207244873,0.7363184094429016,6.948352336883545,2.764097213745117,6.1166486740112305,0.779106616973877,6.683068752288818,2.646958827972412,5.851651191711426,0.8006042242050171,7.009821891784668,2.77278733253479,6.178053379058838,0.782600998878479,,,,,,,,,,,,,,,,
2,4673,,,,,,,,,,,,,,,,,5.408014297485352,2.226813554763794,4.593597888946533,0.7064439058303833,5.5827507972717285,2.1109988689422607,4.765986919403076,0.7242000102996826,5.494022369384766,2.1685571670532227,4.666752338409424,0.7083333134651184,5.600404739379883,2.0993165969848633,4.783590793609619,0.7261033654212952
2,4673,5.664114952087402,2.3544840812683105,4.836264133453369,0.711442768573761,6.116048812866211,2.411146640777588,5.287859916687012,0.7463579177856445,6.1742987632751465,2.431400775909424,5.3452677726745605,0.7885196208953857,6.155428409576416,2.4158942699432373,5.327223300933838,0.7488483190536499,,,,,,,,,,,,,,,,
3,6231,,,,,,,,,,,,,,,,,5.369176387786865,2.0914998054504395,4.5603227615356445,0.7350835204124451,5.531784534454346,2.114443778991699,4.719762325286865,0.7465999722480774,5.619985580444336,2.0517032146453857,4.7970805168151855,0.7638888955116272,5.545485973358154,2.1175763607025146,4.733346462249756,0.7473940849304199
3,6231,5.405498504638672,2.2527425289154053,4.581947326660156,0.7039800882339478,5.754230499267578,2.256026029586792,4.931323051452637,0.7326724529266357,6.324491024017334,2.4882304668426514,5.497594833374023,0.8006042242050171,5.776923179626465,2.2529118061065674,4.954127311706543,0.7342310547828674,,,,,,,,,,,,,,,,
4,7789,,,,,,,,,,,,,,,,,4.859766960144043,1.999161720275879,4.037899017333984,0.6324582099914551,5.2573466300964355,1.9513410329818726,4.430124759674072,0.6904000043869019,5.641899585723877,2.159911870956421,4.799467086791992,0.7361111044883728,5.288151264190674,1.943566918373108,4.4606757164001465,0.6950543522834778
4,7789,5.201423168182373,2.10750150680542,4.381128311157227,0.7004975080490112,5.497635364532471,2.127666473388672,4.678592205047607,0.7167395949363708,6.132246971130371,2.394186496734619,5.30488395690918,0.7462235689163208,5.514705181121826,2.1255533695220947,4.6958909034729,0.7177533507347107,,,,,,,,,,,,,,,,
5,9347,,,,,,,,,,,,,,,,,4.7212090492248535,1.8283584117889404,3.911606788635254,0.6897374987602234,4.894275188446045,1.8063236474990845,4.082772731781006,0.7027999758720398,5.74005651473999,1.8854939937591553,4.908324718475342,0.7777777910232544,4.896852493286133,1.8030121326446533,4.085495471954346,0.7028166055679321
